YearBuilt,OverallQual,OverallCond,1stFlrSF,2ndFlrSF,LotArea,YrSold,HouseStyle,Condition1,Condition2,RoofMatl,Exterior1st,Exterior2nd,MSZoning,SaleType,SalePrice
1994,7,5,1222,888,8880,2010,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,205000
1988,7,5,1872,0,10400,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,241500
1910,6,8,908,1020,9142,2006,2Story,Norm,Norm,CompShg,AsbShng,AsbShng,RM,WD,137000
1954,6,5,1375,0,11310,2006,1Story,Norm,Norm,CompShg,Wd Sdng,BrkFace,RL,WD,140000
2003,7,5,840,828,11317,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,180000
1958,6,7,1444,700,159000,2007,1.5Fin,Norm,Norm,CompShg,Wd Sdng,HdBoard,RL,WD,277000
1940,3,2,1306,0,5350,2010,1Story,Norm,Norm,CompShg,Wd Sdng,Plywood,RL,WD,76500
2006,8,5,1625,0,4750,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,235000
2004,6,5,798,842,8366,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,173000
1964,6,7,1302,0,9350,2007,SLvl,Norm,Norm,CompShg,HdBoard,HdBoard,RL,CWD,158000
1957,5,6,1314,0,8400,2010,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,145000
1999,7,5,1005,1286,8738,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,230000
2003,6,5,864,864,8791,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,207500
2006,7,5,1604,0,8814,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,220000
2001,7,5,963,829,12435,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,231500
1956,5,5,882,0,12702,2008,1Story,Norm,Norm,CompShg,BrkFace,BrkFace,RM,WD,97000
1962,6,5,1382,0,19296,2009,SLvl,Artery,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,176000
2007,8,5,1482,1092,9588,2007,2Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,New,276000
1977,6,7,1212,0,8471,2006,SLvl,Norm,Norm,CompShg,HdBoard,Plywood,RL,WD,151000
1929,5,7,926,0,5500,2010,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,130000
1925,5,5,764,0,5232,2008,1Story,Artery,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,73000
1981,6,6,1422,0,12090,2008,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,175500
1997,6,5,802,709,11207,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,185000
1939,5,8,1052,720,8400,2008,2.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,179500
1940,5,6,778,0,6900,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,120500
1976,6,7,1113,0,7917,2007,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,148000
2006,8,5,1095,844,10728,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,New,266000
1954,7,7,1363,0,39104,2008,1Story,Norm,Norm,Membran,Plywood,Plywood,RL,WD,241500
1999,8,7,1164,1106,11764,2010,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,290000
1958,6,6,1632,0,9600,2009,1Story,Feedr,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,139000
1982,5,7,816,0,8314,2007,1Story,Norm,Norm,CompShg,HdBoard,ImStucc,RL,WD,124500
1925,7,7,952,596,7264,2009,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,205000
2003,7,5,1560,0,9196,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,201000
1951,4,5,864,0,19138,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,141000
2006,9,5,2121,0,14450,2007,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,New,415298
1977,7,5,1156,866,10005,2008,2Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,192000
1989,7,6,1175,807,11287,2007,2Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,228500
2006,6,5,1262,0,7200,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,New,185000
2007,7,5,1314,0,5063,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,ConLw,207500
2008,8,5,1468,0,9612,2009,1Story,Feedr,Norm,CompShg,VinylSd,VinylSd,RL,New,244600
1992,6,5,1575,0,8012,2007,1Story,Norm,Norm,CompShg,Plywood,ImStucc,RL,WD,179200
2006,7,5,625,625,4251,2007,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,FV,New,164700
1962,6,7,1085,649,9786,2006,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,159000
1971,4,4,858,0,8125,2006,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,88000
1967,5,5,900,0,9819,2010,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,122000
1915,6,7,698,698,8730,2007,2Story,RRAn,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,153575
2006,8,5,1079,840,15611,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,233230
1912,5,6,936,780,5687,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,135900
1949,5,4,1148,568,11409,2009,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,131000
1977,7,7,1468,795,16659,2006,2Story,PosA,Norm,CompShg,Plywood,Plywood,RL,WD,235000
1953,6,5,1644,0,9600,2009,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,167000
1984,6,6,1003,0,7937,2006,SLvl,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,142500
1950,5,5,910,648,13710,2007,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,152000
1997,7,5,975,975,7399,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,239000
1968,6,6,1041,702,11700,2007,2Story,Norm,Norm,CompShg,HdBoard,AsphShn,RL,WD,175000
1950,6,8,1152,0,14000,2009,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,158500
1953,5,5,1336,0,15750,2006,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,157000
1998,8,5,1210,1242,16226,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,267000
2001,7,5,1541,0,13704,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,205000
1972,5,7,894,0,9800,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,149900
1880,7,9,1675,1818,18386,2008,2.5Fin,Norm,Norm,CompShg,CemntBd,CmentBd,RM,WD,295000
2004,8,5,2000,0,10386,2007,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,WD,305900
1990,7,5,1122,1121,13474,2007,2Story,Feedr,Norm,CompShg,HdBoard,Plywood,RL,WD,225000
1920,6,7,1035,371,7920,2008,1.5Fin,Artery,Norm,CompShg,MetalSd,MetalSd,RM,WD,89500
1940,4,5,861,0,12342,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,82500
2003,9,5,1944,0,12378,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,360000
1993,6,5,697,804,7685,2006,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,165600
1948,6,6,972,0,8000,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,132000
1939,5,7,793,325,7800,2006,1.5Fin,Artery,Norm,CompShg,MetalSd,MetalSd,RM,WD,119900
1965,7,5,2036,0,215245,2009,1Story,Norm,Norm,CompShg,BrkFace,BrkFace,RL,WD,375000
1925,7,7,832,809,9600,2006,2Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,178000
2004,7,5,716,716,7795,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,188500
1980,7,7,1153,1200,13005,2009,2Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,WD,260000
2006,8,5,1088,871,9000,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,270000
1993,7,5,1372,1274,9900,2009,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,260000
1980,7,5,1472,0,14115,2009,SLvl,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,187500
2006,9,5,1249,1347,16259,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,342643
2004,8,5,1136,1332,12099,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,354000
1986,7,5,1553,1177,10380,2007,2Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,301000
1955,3,8,1163,0,5820,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,126175
1967,7,7,1898,1080,11275,2010,SLvl,PosN,Norm,WdShake,Wd Sdng,Wd Sdng,RL,WD,242000
1941,5,6,803,0,5000,2007,1.5Unf,RRAe,Norm,CompShg,MetalSd,MetalSd,RM,WD,87000
1993,8,5,1719,0,10846,2008,1Story,Norm,Norm,CompShg,BrkFace,BrkFace,RL,Con,324000
1960,6,5,1383,0,11600,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,145250
1916,6,6,1445,689,11888,2009,2.5Unf,PosN,Norm,CompShg,Wd Sdng,Wd Shng,RL,WD,214500
1920,5,5,596,596,6402,2009,2Story,Norm,Norm,CompShg,Wd Sdng,Wd Shng,RM,WD,78000
1964,5,4,1728,0,10624,2007,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,119000
1958,5,6,1056,0,8176,2007,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,139000
2003,8,5,1629,0,10655,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,284000
2004,7,5,1358,0,8198,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,207000
1998,6,5,943,695,9042,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,192000
1965,5,6,1619,167,164660,2008,1.5Fin,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,228950
2005,9,5,1922,0,14157,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,377426
2002,7,5,1536,0,9135,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,214000
1984,7,7,1621,0,14145,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,202500
1958,6,7,1215,0,12400,2009,1Story,Feedr,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,155000
2002,8,5,993,915,14191,2010,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,202900
1950,4,4,841,0,8400,2009,1Story,Feedr,Norm,CompShg,Wd Sdng,AsbShng,RH,WD,82000
1949,3,4,1040,0,8544,2006,1Story,Norm,Norm,CompShg,Stucco,Stucco,RL,WD,87500
2005,9,5,1684,0,8849,2008,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,266000
1976,5,3,536,576,2592,2010,2Story,Norm,Norm,CompShg,CemntBd,CmentBd,RM,WD,85000
1939,6,5,972,605,6435,2006,1.5Fin,RRAn,Norm,CompShg,MetalSd,MetalSd,RL,WD,140200
1960,6,8,958,0,12772,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,151500
1960,6,5,1478,0,17600,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,157500
2003,7,5,764,862,2448,2008,2Story,Norm,Norm,CompShg,VinylSd,Wd Shng,RL,WD,154000
2005,9,5,1848,880,20431,2006,2Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,New,437154
2007,9,5,1869,0,7820,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,New,318061
1986,7,5,1453,0,5271,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,190000
1941,5,6,616,495,9084,2008,1.5Fin,Artery,Norm,CompShg,VinylSd,VinylSd,RL,ConLw,95000
1928,6,8,720,0,8520,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,105900
1940,6,5,1192,403,8400,2006,1.5Fin,Norm,Norm,CompShg,Wd Sdng,MetalSd,RL,WD,140000
1995,6,5,1200,0,11249,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,177500
1992,6,6,1167,0,9248,2009,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,173000
1976,5,5,1142,0,4224,2007,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RM,WD,134000
1958,5,4,1352,0,6930,2006,SLvl,Norm,Norm,CompShg,Wd Sdng,ImStucc,RL,WD,130000
1998,8,5,1086,838,12011,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,280000
1978,6,6,912,0,7540,2007,SFoyer,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,156000
1940,5,5,988,517,9144,2008,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,145000
2003,7,5,495,1427,7301,2009,SFoyer,Norm,Norm,CompShg,HdBoard,HdBoard,RL,ConLD,198500
1972,6,8,483,504,1680,2009,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RM,WD,118000
1976,6,5,790,784,18800,2006,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,190000
1920,5,7,672,672,10690,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,147000
1963,6,5,1394,0,9500,2009,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,159000
1962,6,5,1431,0,9150,2008,SLvl,Norm,Norm,Tar&Grv,Plywood,Plywood,RL,WD,165000
1954,5,6,1268,0,7800,2010,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,132000
1959,5,7,1287,0,9830,2010,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,162000
2000,6,5,953,711,8121,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,172400
1959,4,4,1120,468,17120,2008,1.5Fin,Feedr,Norm,CompShg,WdShing,Plywood,RL,WD,134432
1984,6,5,752,0,7175,2010,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,125000
1953,5,6,1319,0,10634,2009,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,123000
2003,7,5,847,1081,8200,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,219500
1922,1,1,904,0,10020,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,61000
1996,5,5,914,0,8846,2006,SFoyer,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,148000
2004,8,5,1580,886,11143,2007,2Story,Norm,Norm,CompShg,CemntBd,CmentBd,FV,WD,340000
2010,9,2,1856,0,11394,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,394432
2000,6,5,1007,793,8123,2009,2Story,RRAn,Norm,CompShg,VinylSd,VinylSd,RL,WD,179000
1924,5,6,1026,665,5000,2010,1.5Fin,Norm,Norm,CompShg,BrkFace,Wd Sdng,RL,WD,127000
2006,7,5,1301,0,7200,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,New,187750
2006,7,5,939,858,9245,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,213500
1928,6,3,784,0,9000,2009,1.5Unf,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RH,WD,76000
1992,6,5,1079,874,53107,2007,2Story,Feedr,Norm,CompShg,HdBoard,HdBoard,RL,WD,240000
2004,8,5,1269,0,3182,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,192000
1910,5,3,658,526,8410,2006,1.5Fin,Feedr,Norm,CompShg,Wd Sdng,VinylSd,RL,WD,81000
1976,6,6,1125,0,7200,2009,SLvl,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,125000
1999,7,5,1479,0,9382,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,191000
2007,10,5,1742,590,12474,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,426000
1900,5,8,961,406,8405,2008,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,119000
2001,6,5,804,1157,12209,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,215000
1959,5,7,882,0,8339,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,106500
1941,4,5,788,0,7446,2006,1Story,Feedr,Norm,CompShg,WdShing,Wd Shng,RL,WD,100000
1940,5,6,735,299,10134,2007,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,109000
1956,5,6,1144,0,9571,2010,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,129000
1972,5,5,894,0,7200,2009,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,123000
1962,5,5,876,936,7590,2007,2Story,PosN,Norm,CompShg,VinylSd,VinylSd,RL,WD,169500
1920,5,2,1077,0,8967,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,67000
2006,7,5,1112,438,8125,2009,2Story,Norm,Norm,CompShg,CemntBd,CmentBd,FV,WD,241000
1996,8,5,1288,0,14963,2008,1Story,Norm,Norm,CompShg,BrkFace,BrkFace,RL,WD,245500
2005,7,5,1310,0,8767,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,164990
1940,5,8,672,0,10200,2008,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,108000
1998,8,5,1165,1098,12090,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,258000
1995,6,5,806,766,10364,2007,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,168000
1976,4,4,1620,0,9991,2009,1Story,Feedr,Norm,CompShg,Plywood,Plywood,RL,WD,150000
1936,6,5,1166,0,10480,2008,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,115000
1915,6,7,840,840,15576,2008,2Story,Norm,Norm,CompShg,Wd Sdng,Plywood,RL,WD,177000
2006,7,5,1071,1101,14154,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,280000
2007,8,5,1050,1028,10800,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,New,339750
1958,5,3,1276,0,9571,2009,1Story,Norm,Norm,CompShg,BrkComm,Brk Cmn,RL,COD,60000
1955,5,5,1056,0,34650,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,145000
2009,7,5,1478,0,4403,2010,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,FV,New,222000
1927,5,6,1028,0,8960,2010,1Story,Artery,Norm,CompShg,WdShing,Wd Shng,RM,WD,115000
1993,7,5,1080,1017,11228,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,228000
2007,7,5,1340,0,8899,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,181134
1978,6,7,672,728,7844,2006,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,149500
1918,6,6,1370,1254,22420,2007,2Story,Feedr,Norm,CompShg,Wd Sdng,Stucco,RL,WD,239000
1940,5,6,756,378,8160,2007,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,126000
1968,5,6,1056,0,8450,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,142000
1997,7,5,1344,0,7060,2008,SFoyer,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,206300
1977,6,7,1602,0,16635,2009,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,WD,215000
1954,5,5,988,0,21750,2008,1Story,Artery,Norm,CompShg,HdBoard,HdBoard,RL,WD,113000
1998,8,5,1470,1160,9200,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,315000
1956,6,5,1196,0,9000,2008,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,139000
1946,7,8,707,682,3378,2009,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RM,WD,135000
1989,7,5,1644,0,12800,2009,SLvl,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,275000
1957,4,6,907,0,8593,2008,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,109008
2007,7,5,1208,0,6762,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,195400
1988,6,5,1412,0,11457,2009,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,175000
1971,6,5,483,504,1680,2008,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RM,COD,85400
1920,6,7,1088,110,5586,2008,1.5Fin,Feedr,Norm,CompShg,MetalSd,MetalSd,RM,ConLD,79900
1971,5,5,765,600,1920,2007,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RM,WD,122500
1997,6,5,926,678,10839,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,181000
1972,4,7,630,0,1890,2008,SFoyer,Norm,Norm,CompShg,CemntBd,CmentBd,RM,WD,81000
1996,7,6,827,834,10667,2009,2Story,PosN,Norm,CompShg,VinylSd,VinylSd,RL,ConLw,212000
1920,6,8,734,384,4400,2006,1.5Fin,Norm,Norm,CompShg,Stucco,Stucco,RM,WD,116000
1926,6,7,904,0,6000,2009,1.5Unf,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,119000
1913,5,6,694,0,4280,2007,1Story,Norm,Norm,CompShg,WdShing,Stucco,RL,WD,90350
1920,6,8,684,512,12354,2009,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,ConLI,110000
2008,10,5,2402,0,15431,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,555000
1955,4,4,1440,0,12108,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,118000
1930,5,7,1128,445,6240,2008,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,162900
2006,7,5,1258,0,3922,2007,1Story,Norm,Norm,CompShg,WdShing,Wd Shng,RL,New,172500
1994,7,5,933,975,8750,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,210000
1956,6,5,1689,0,9855,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,COD,127500
1966,6,6,1888,0,16492,2010,1Story,PosA,Norm,CompShg,BrkFace,Plywood,RL,WD,190000
1998,7,5,956,930,11214,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,199900
1937,6,6,780,596,8600,2006,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,119500
1948,3,7,679,504,6000,2007,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,120000
1930,6,8,813,0,5684,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,110000
1975,7,5,1533,0,70761,2006,1Story,Norm,Norm,WdShngl,Plywood,Plywood,RL,WD,280000
1996,6,5,888,868,9303,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,204000
2008,8,5,786,804,9000,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,210000
1976,5,5,1728,0,9297,2006,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,188000
1973,7,6,1242,0,9600,2007,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,175500
1916,5,5,624,720,4571,2008,2Story,Norm,Norm,CompShg,AsbShng,AsbShng,RM,COD,98000
1954,4,6,1663,0,53227,2008,1Story,Norm,Norm,Tar&Grv,Plywood,Plywood,RL,WD,256000
1925,8,7,833,833,5100,2008,2Story,Norm,Norm,CompShg,Stucco,Wd Shng,RM,WD,161000
1950,5,4,979,224,7015,2009,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,110000
2009,8,5,832,1103,8004,2009,2Story,RRAn,Norm,CompShg,VinylSd,VinylSd,FV,New,263435
1936,7,9,575,560,7200,2009,2Story,Feedr,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,155000
1965,5,5,864,0,8281,2009,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,62383
1934,6,7,849,811,11988,2008,2Story,Norm,Norm,CompShg,Stucco,Stucco,RL,WD,188700
1978,5,5,1040,0,8430,2009,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,124000
2004,7,5,1414,0,3072,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,178740
1970,7,5,1277,0,10628,2007,1Story,Norm,Norm,Tar&Grv,Plywood,Plywood,RL,WD,167000
1942,5,7,888,756,9480,2007,2Story,Artery,Norm,CompShg,MetalSd,MetalSd,RL,WD,146500
2006,8,5,1634,0,11428,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,250000
1993,6,5,832,878,9291,2008,2Story,RRNe,Norm,CompShg,HdBoard,HdBoard,RL,WD,187000
1985,8,5,1502,0,6820,2010,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,212000
1977,7,6,1161,808,11952,2007,2Story,PosA,Norm,WdShake,WdShing,Plywood,RL,WD,190000
2005,6,5,1072,0,3675,2008,SLvl,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,148000
2006,8,5,1976,0,14977,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,440000
2000,8,5,1652,0,5330,2007,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,WD,251000
1963,5,6,970,0,8480,2007,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,132500
1997,6,5,1493,0,13125,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,208900
2006,9,5,2069,574,13693,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,380000
2007,8,5,1718,0,10637,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,297000
1937,4,7,1131,0,5925,2007,1Story,Norm,Norm,CompShg,Stucco,Stucco,RM,WD,89471
2004,9,5,1850,0,16033,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,326000
2003,9,5,1792,0,11846,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,374000
1915,7,8,916,910,2500,2009,2Story,Norm,Norm,CompShg,Stucco,Stucco,RM,WD,155000
1998,6,5,1216,0,4500,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,164000
1962,5,7,999,0,7758,2007,1Story,Norm,Norm,CompShg,HdBoard,Plywood,RL,WD,132500
1950,5,7,1113,0,9600,2009,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,147000
1965,5,7,1073,0,10289,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,156000
1971,5,6,1484,0,12243,2007,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,175000
1900,5,4,1766,648,10800,2006,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,ConLD,160000
